titular,empresa,variedade,tipo_ciclo,inicio_ret,NºRNC,grupo__qualidade,ano_class_qualidade
SAS FLORIMOND DESPREZ V.ET F.,BIOCERES,GUAYABO,L,2018,17945,GRUPO DE CALIDAD 3,2021
SAS FLORIMOND DESPREZ V.ET F.,BIOCERES,GINGKO,C,2017,17944,GRUPO DE CALIDAD 3,2021
INTA,BIOCERES,BIOCERES 1008,C,2016,16330,GRUPO DE CALIDAD 3,2021
SAS FLORIMOND DESPREZ V. ET F.,BIOCERES,TIMBO,L,2013,14487,GRUPO DE CALIDAD 3,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,SY109,L,2020,14478,GRUPO DE CALIDAD 3,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK PEREGRINO,L,2020,19466,GRUPO DE CALIDAD 3,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK PACIFICO,L,2021,20680,GRUPO DE CALIDAD 3,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN LIEBRE,I,2013,13778,GRUPO DE CALIDAD 3,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN FAVORITO 2,L,2020,19535,GRUPO DE CALIDAD 3,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN GEMINIS,L,2020,19553,GRUPO DE CALIDAD 3,2021
ACA,GYT,914,C,2018,17985,GRUPO DE CALIDAD 3,2021
INTA ,LCD SEMILLAS,MS INTA119,L,2019,18706,GRUPO DE CALIDAD 3,2021
INTA,LDC SEMILLAS,MS INTA BON. 817,C,2017,17255,GRUPO DE CALIDAD 3,2021
INTA,LDC SEMILLAS,MS INTA 415,I,2016,16328,GRUPO DE CALIDAD 3,2021
INTA ,LDC SEMILLAS,MS INTA 815,C,2015,15746,GRUPO DE CALIDAD 3,2021
LIMAGRAIN,LIMAGRAIN,ALHAMBRA,L,2013,14576,GRUPO DE CALIDAD 3,2021
RAGT2n,MERCOSEED,RGT GARDELL,L,2014,15277,GRUPO DE CALIDAD 3,2021
NIDERA,NIDERA,BAGUETTE 501,C,2012,13642,GRUPO DE CALIDAD 3,2021
RAGT,RAGT,RGT QUIRIKO,I,2021,19549,GRUPO DE CALIDAD 3,2021
