sem_empresa

362
K.100 ANOS
K.GEMINIS
K.MINERVA
K.TITANIO CL
K.SELENIO CL
K.FAVORITO II
MS INTA 119
B.DESTELLO
B.RESPLANDOR
BUCK EXP 400528
B.PEREGRINO
B.CUMELEN
SY 109
B.CAMBA
B.COLIHUE
RGT QUIRICO
K. CIEN ANOS
KLEIN SELENIO CL
KLEIN FAVORITO II
KLEIN PROMETEO
PAMPERO
ARLASK
BUCK CAMBA
NANDUBAY
K.LIEBRE
K.PROMETEO
K.NUTRIA
K.POTRO
K.VALOR
MS INTA B 817
GINKO
LG PAMPERO
B. BRAVIO
B.SAETA
B.FULGOR
MS INTA B. 817
LGWA11 PAMPERO
HO CARCARNA
KLEIN 100 ANOS
LGZAINO
HO CARCARANA
BUCK MUTISIA
BUCK AMANCAY
B CUMELEN
B DESTELLO
B PACIFICO
B PEREGRINO
B 620
B 680
B 750
B 820
B COLIHUE
K CIEN ANOS
K FAVORITO II
K GEMINIS
K LIEBRE
K PROMETEO
MS INTA 215
BRAVIO CL2
B FULGOR
B METEORO
B MUTISIA
B SAETA
K NUTRIA
K POTRO
K VALOR
MS INTA 817
B AMANCAY
B BRAVIO CL2
B 450
B 550
A'ANDUBAY
B.PACIFICO
QUIRIKO
B.METEORO
BG 620
BG 680
BG 750
ACA 365
BAG 620
BAG 680
BAG 750
B RESPLANDOR
B CAMBA
KL FAVORITO
KL CIEN ANOS
KL GEMINIS
KL MINERVA
KL SELENIO CL
KL TITAN CL
MS 119
ACA 915
ACA 916
BAG 450
BAG 550
BBRAVIO CL2
BIO 1006
BIO 1008
KL LIEBRE
KL NUTRIA
KL POTRO
KL PROMETEO
KL VALOR
MS 415
MS 815
MSB 817
HOATUEL
ACA360
ACA362
ALGARR
ALHAM
BCAMBA
BPACIFICO
BRESPL
KLEIN FAVORITO
JACARAN
KL.CIEN
KLGEMINIS
KLMINE
KLSELENIO
KLEIN TITAN CL
LGARLAS
MS119
RGTQUIRI
SY120
SY200
SY211
HOCARC
ACA308
ACA602
ACA604
MS415
NANDUB
ACA917
BFULGOR
BIO1006
BIO1008
BSAETA
ISHORNERO
ISTORDO
KLPOTRO
KLVALOR
MS815
MSB817
SY330
MS INTA BONAERENSE 119
MS INTA BONAERENSE 122
MS INTA BONAERENSE 221
"KLEIN SELENIO
CL"
BIOINTA 1008
"BUCK MUTISIA
MUTISIA"
"BUCK PRETAL
PRETAL"
"BUCK SAETA
SAETA"
"IS HORNERO
HORNERO"
"KLEIN NUTRIA
NUTRIA"
MS INTA BONAERENSE 415
MS INTA BONAERENSE 521
BUCK AIMARA
PROMEDIO
MAXIMO
MINIMO
CV%
MS INTA 221
SARANDI
MINERVA
KLEIN TITANIO
TERO
TORDO
HORNERO
AUDAZ
ZAINO
FAVORITO II
PROMETEO
GEMINIS
100 ANOS
PACIFICO
SELENIO
NIANDUBAY
BRAVIO
SYN 120
B 370502
ACA 462
MUTISIA
POTRO
VALOR
NUTRIA
ZAETA
ELITE 43
BUCK AUDAZ
GINKGO
FULGOR
INTA 817
COLIHUE
ELITE 17
BUCK FAVORITO II
KLEIN.POTRO
BUCK.HORNERO
SP 12
EXP. ARCE
K.SELENIO
B.CUMULEN
LIEBRE
MS INTA BON 817
MS INTA 122
MS INTA MDA BONAERENSE 221
ACA363
ACA364
ACA502
ACA605
BAIMARA
ISTERO
LGMORO
MS122
MS221
MS521
ACA921
BPRETAL
BAG525
BCOLIHUE
BCUMELEN
BDESTELLO
BPEREGRINO
HOCARCARANA
KLCIENANOS
KLMINERVA
KLSELENIO CL
LGLIMAY
MSINTA BONAERENSE 122
ACA460
ACA603
ACA916
ACA920
BMUTISIA
KLFAVORITO
KLPROMETEO
LGARLASK
RGTQUIRICO
B.AIMARA
B.PRETAL
B.AMANCAY
B.MUTISIA
BAYO
TUC ELITE 17
TUC ELITE 43
TUC GRANIVO
CANARIO
NEO 30T23
PICASSO
LG BAYO
NEO 50T23
MS INTA 324
MS INTA 423
IMS INTA 415
MORO
AIMARA
PRETAL
QUIRICO
PICAZO
B370502
TUC ELITTE 17
TUC ELITTE 43
BUCK PEHUEN
BUCK ZAETA
BUCK PICAZO
ACA607
LG LIMAY
LG ZONDA
MS INTA B 324
MS INTA B 423
BAGUETTE 610
BIO BASILIO
